model,repeat,arm,tp,fp,fn,evaluated,nonempty_reference,reference_pair_count,recall,precision,f1
google/gemma-3-4b-it,5,all_verbs,212,598,120,356,244,332,0.6385542168674698,0.2617283950617284,0.3712784588441331
google/gemma-3-4b-it,5,context_pos,220,590,112,356,244,332,0.6626506024096386,0.2716049382716049,0.38528896672504376
google/gemma-3-4b-it,5,additive_pos,234,833,98,356,244,332,0.7048192771084337,0.21930646672914714,0.33452466047176554
openai/gpt-5.4,1,baseline,276,125,71,362,251,347,0.7953890489913544,0.6882793017456359,0.7379679144385026
openai/gpt-5.4,1,additive_verbs,276,153,71,362,251,347,0.7953890489913544,0.6433566433566433,0.711340206185567
openai/gpt-5.4,1,all_verbs,261,140,86,362,251,347,0.7521613832853026,0.6508728179551122,0.6978609625668449
openai/gpt-5.4,1,context_pos,266,135,81,362,251,347,0.7665706051873199,0.6633416458852868,0.7112299465240641
openai/gpt-5.4,1,additive_pos,277,142,70,362,251,347,0.7982708933717579,0.6610978520286396,0.7232375979112271
openai/gpt-5.4,2,baseline,276,126,71,362,253,347,0.7953890489913544,0.6865671641791045,0.7369826435246996
openai/gpt-5.4,2,additive_verbs,276,152,71,362,253,347,0.7953890489913544,0.6448598130841121,0.712258064516129
openai/gpt-5.4,2,all_verbs,261,141,86,362,253,347,0.7521613832853026,0.6492537313432836,0.6969292389853138
openai/gpt-5.4,2,context_pos,267,135,80,362,253,347,0.7694524495677233,0.664179104477612,0.7129506008010681
openai/gpt-5.4,2,additive_pos,277,141,70,362,253,347,0.7982708933717579,0.6626794258373205,0.7241830065359477
openai/gpt-5.4,3,baseline,276,121,69,362,250,345,0.8,0.6952141057934509,0.7439353099730458
openai/gpt-5.4,3,additive_verbs,276,144,69,362,250,345,0.8,0.6571428571428571,0.7215686274509804
openai/gpt-5.4,3,all_verbs,264,133,81,362,250,345,0.7652173913043478,0.6649874055415617,0.7115902964959568
openai/gpt-5.4,3,context_pos,268,129,77,362,250,345,0.7768115942028986,0.6750629722921915,0.7223719676549866
