model,repeat,arm,scoring,micro_f1,exact_match,fixed_reference_recall,fixed_tp,fixed_fp,fixed_fn,fixed_evaluated
google/gemini-3.5-flash,5,baseline,unique_position,0.6007509386733417,0.574585635359116,0.6170798898071626,224,227,139,362
google/gemini-3.5-flash,5,baseline,set,0.7395577395577395,0.6160220994475138,0.8292011019283747,301,150,62,362
google/gemini-3.5-flash,5,additive_verbs,unique_position,0.5714285714285714,0.5497237569060773,0.6170798898071626,224,268,139,362
google/gemini-3.5-flash,5,additive_verbs,set,0.704093567251462,0.5828729281767956,0.8292011019283747,301,191,62,362
google/gemini-3.5-flash,5,all_verbs,unique_position,0.5678391959798995,0.5497237569060773,0.5785123966942148,210,241,153,362
google/gemini-3.5-flash,5,all_verbs,set,0.7019704433497537,0.5828729281767956,0.7851239669421488,285,166,78,362
google/gemini-3.5-flash,5,context_pos,unique_position,0.5821831869510665,0.5580110497237569,0.5950413223140496,216,235,147,362
google/gemini-3.5-flash,5,context_pos,set,0.7216748768472906,0.5966850828729282,0.8071625344352618,293,158,70,362
google/gemini-3.5-flash,5,additive_pos,unique_position,0.583232077764277,0.5580110497237569,0.6170798898071626,224,251,139,362
google/gemini-3.5-flash,5,additive_pos,set,0.7183770883054893,0.5966850828729282,0.8292011019283747,301,174,62,362
google/gemma-3-4b-it,1,baseline,unique_position,0.18488888888888888,0.1694915254237288,0.2857142857142857,94,717,235,354
google/gemma-3-4b-it,1,baseline,set,0.3087719298245614,0.17796610169491525,0.5349544072948328,176,635,153,354
google/gemma-3-4b-it,1,additive_verbs,unique_position,0.15153681200857755,0.1497175141242938,0.2887537993920973,95,990,234,354
google/gemma-3-4b-it,1,additive_verbs,set,0.3359100491918482,0.15819209039548024,0.6808510638297872,224,861,105,354
google/gemma-3-4b-it,1,all_verbs,unique_position,0.22852081488042517,0.21468926553672316,0.3373860182370821,111,700,218,354
google/gemma-3-4b-it,1,all_verbs,set,0.3870967741935484,0.22598870056497175,0.6261398176291794,206,605,123,354
google/gemma-3-4b-it,1,context_pos,unique_position,0.24269264836138174,0.22598870056497175,0.3525835866261398,116,695,213,354
google/gemma-3-4b-it,1,context_pos,set,0.4013961605584642,0.2344632768361582,0.6504559270516718,214,597,115,354
google/gemma-3-4b-it,1,additive_pos,unique_position,0.15384615384615385,0.16101694915254236,0.2887537993920973,95,969,234,354
google/gemma-3-4b-it,1,additive_pos,set,0.3454675231977159,0.1694915254237288,0.6930091185410334,228,836,101,354
google/gemma-3-4b-it,2,baseline,unique_position,0.19090098126672614,0.17746478873239438,0.2917933130699088,96,709,233,355
google/gemma-3-4b-it,2,baseline,set,0.31393298059964725,0.18591549295774648,0.541033434650456,178,627,151,355
google/gemma-3-4b-it,2,additive_verbs,unique_position,0.1563845050215208,0.15492957746478872,0.2948328267477204,97,981,232,355
google/gemma-3-4b-it,2,additive_verbs,set,0.3429781227946366,0.16338028169014085,0.6899696048632219,227,851,102,355
google/gemma-3-4b-it,2,all_verbs,unique_position,0.23466666666666666,0.22253521126760564,0.3434650455927052,113,692,216,355
google/gemma-3-4b-it,2,all_verbs,set,0.3957968476357268,0.23380281690140844,0.6352583586626139,209,596,120,355
google/gemma-3-4b-it,2,context_pos,unique_position,0.24888888888888888,0.23380281690140844,0.3586626139817629,118,687,211,355
google/gemma-3-4b-it,2,context_pos,set,0.4101665205959685,0.24225352112676057,0.6595744680851063,217,588,112,355
google/gemma-3-4b-it,2,additive_pos,unique_position,0.15854545454545454,0.16619718309859155,0.2948328267477204,97,962,232,355
google/gemma-3-4b-it,2,additive_pos,set,0.3521832498210451,0.17464788732394365,0.7021276595744681,231,828,98,355
google/gemma-3-4b-it,3,baseline,unique_position,0.18716577540106952,0.17183098591549295,0.2896341463414634,95,713,233,355
google/gemma-3-4b-it,3,baseline,set,0.30985915492957744,0.18028169014084508,0.5365853658536586,176,632,152,355
google/gemma-3-4b-it,3,additive_verbs,unique_position,0.15329512893982808,0.14929577464788732,0.2926829268292683,96,986,232,355
google/gemma-3-4b-it,3,additive_verbs,set,0.33943661971830985,0.15774647887323945,0.6859756097560976,225,857,103,355
google/gemma-3-4b-it,3,all_verbs,unique_position,0.23070097604259096,0.21690140845070421,0.3384146341463415,111,697,217,355
